,0,1,2,3,4
games,360,434,474,450,420
goals_against_gk,1.55,1.26,1.38,1.36,1.52
shots_on_target_against,4.27,3.48,3.87,4.03,4.12
saves,2.91,2.36,2.66,2.83,2.75
save_pct,67.7,67.8,68.8,70.0,66.8
clean_sheets_pct,20.6,27.9,27.8,30.0,23.1
pens_att_gk,0.21,0.19,0.21,0.18,0.18
pens_allowed,0.17,0.14,0.17,0.15,0.15
pens_saved,0.04,0.04,0.03,0.02,0.03
pens_missed_gk,0.01,0.01,0.01,0.02,0.00
pens_save_pct,,,,,
