,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
player,Nícolas Andrade,Emil Audero,Gianluigi Buffon,Andrea Consigli,Alex Cordaz,Angelo da Costa Júnior,Alessio Cragno,Gianluigi Donnarumma,Bartłomiej Drągowski,Pierluigi Gollini,Samir Handanović,Pau López,Federico Marchetti,Alex Meret,Vanja Milinković-Savić,Antonio Mirante,Lorenzo Montipò,Juan Musso,David Ospina,Alberto Paleari,Gianluca Pegolo,Mattia Perin,Ivan Provedel,Rafael,Federico Ravaglia,Pepe Reina,Luigi Sepe,Marco Silvestri,Salvatore Sirigu,Łukasz Skorupski,Marco Sportiello,Thomas Strakosha,Wojciech Szczęsny,Ciprian Tătărușanu,Jeroen Zoet
nationality,br BRA,it ITA,it ITA,it ITA,it ITA,br BRA,it ITA,it ITA,pl POL,it ITA,si SVN,es ESP,it ITA,it ITA,rs SRB,it ITA,it ITA,ar ARG,co COL,it ITA,it ITA,it ITA,it ITA,br BRA,it ITA,es ESP,it ITA,it ITA,it ITA,pl POL,it ITA,al ALB,pl POL,ro ROU,nl NED
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Udinese,Sampdoria,Juventus,Sassuolo,Crotone,Bologna,Cagliari,Milan,Fiorentina,Atalanta,Inter,Roma,Genoa,Napoli,Torino,Roma,Benevento,Udinese,Napoli,Genoa,Sassuolo,Genoa,Spezia,Spezia,Bologna,Lazio,Parma,Hellas Verona,Torino,Bologna,Atalanta,Lazio,Juventus,Milan,Spezia
age,32-307,24-026,43-016,34-017,38-043,37-093,26-230,21-354,23-178,25-332,36-214,26-062,38-006,23-328,23-359,37-220,24-359,26-283,32-166,28-168,39-325,28-095,26-333,38-347,21-094,38-166,29-281,29-348,34-032,29-284,28-279,25-331,30-301,35-004,30-038
goal_kicks,9,156,33,144,159,42,175,111,146,64,94,44,15,35,7,65,164,121,36,10,8,161,100,11,6,75,167,178,143,110,37,32,105,4,8
pct_goal_kicks_launched,55.6,62.8,9.1,31.3,22.0,23.8,47.4,47.7,37.7,64.1,25.5,54.5,66.7,17.1,71.4,29.2,56.7,46.3,16.7,30.0,0.0,54.0,49.0,18.2,16.7,32.0,40.1,90.4,39.9,30.0,59.5,15.6,12.4,50.0,25.0
goal_kick_length_avg,47.4,45.5,18.4,28.5,24.8,24.4,36.8,37.7,35.3,50.1,30.3,42.2,44.1,23.1,54.0,30.1,41.6,38.3,24.3,30.6,13.6,40.9,43.6,26.5,18.7,29.3,36.3,58.4,33.1,26.2,47.5,26.0,23.0,30.8,30.8
crosses_gk,16,212,33,188,170,48,201,188,188,84,149,59,19,45,15,84,215,134,66,8,4,206,133,23,6,104,229,189,171,116,49,60,132,3,16
crosses_stopped_gk,0,17,0,15,9,0,16,18,12,3,9,5,0,6,0,2,14,12,8,0,0,9,12,1,0,6,12,5,8,17,4,4,8,1,0
crosses_stopped_pct_gk,0.0,8.0,0.0,8.0,5.3,0.0,8.0,9.6,6.4,3.6,6.0,8.5,0.0,13.3,0.0,2.4,6.5,9.0,12.1,0.0,0.0,4.4,9.0,4.3,0.0,5.8,5.2,2.6,4.7,14.7,8.2,6.7,6.1,33.3,0.0
def_actions_outside_pen_area_gk,0,9,5,15,22,7,12,10,11,11,11,7,1,2,1,12,8,12,10,0,0,5,19,0,2,8,8,10,7,6,6,1,12,0,0
def_actions_outside_pen_area_per90_gk,0.00,0.43,1.25,0.75,1.05,1.17,0.57,0.50,0.52,0.80,0.52,0.69,0.58,0.25,0.50,1.11,0.36,0.63,0.83,0.00,0.00,0.28,1.06,0.00,2.00,0.53,0.38,0.48,0.37,0.40,0.82,0.17,0.75,0.00,0.00
avg_distance_def_actions_gk,15.2,12.3,14.6,16.1,16.0,16.0,13.4,14.5,14.3,14.9,12.7,14.7,17.3,11.7,12.3,15.9,13.7,13.5,15.9,11.7,14.5,12.5,16.7,8.3,23.5,16.9,13.2,13.1,13.0,13.5,16.1,11.7,13.2,8.1,8.1
matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches
